"filename", "language", "TypeScript", "JSON with Comments", "Markdown", "JSON", "comment", "blank", "total"
"c:\projects\card-game\README.md", "Markdown", 0, 0, 10, 0, 0, 3, 13
"c:\projects\card-game\example.ts", "TypeScript", 131, 0, 0, 0, 7, 24, 162
"c:\projects\card-game\jest.config.ts", "TypeScript", 8, 0, 0, 0, 137, 55, 200
"c:\projects\card-game\package-lock.json", "JSON", 0, 0, 0, 8326, 0, 1, 8327
"c:\projects\card-game\package.json", "JSON", 0, 0, 0, 16, 0, 1, 17
"c:\projects\card-game\src\actions\ActionNames.ts", "TypeScript", 9, 0, 0, 0, 5, 4, 18
"c:\projects\card-game\src\actions\index.ts", "TypeScript", 41, 0, 0, 0, 7, 11, 59
"c:\projects\card-game\src\actions\players\decks\index.ts", "TypeScript", 21, 0, 0, 0, 0, 6, 27
"c:\projects\card-game\src\actions\players\hands\index.ts", "TypeScript", 20, 0, 0, 0, 21, 9, 50
"c:\projects\card-game\src\actions\players\index.ts", "TypeScript", 51, 0, 0, 0, 3, 7, 61
"c:\projects\card-game\src\actions\turns\index.ts", "TypeScript", 15, 0, 0, 0, 0, 5, 20
"c:\projects\card-game\src\api\actions\cards\index.ts", "TypeScript", 51, 0, 0, 0, 3, 8, 62
"c:\projects\card-game\src\api\actions\decks\DrawCards.ts", "TypeScript", 44, 0, 0, 0, 0, 11, 55
"c:\projects\card-game\src\api\actions\decks\ShuffleDecks.ts", "TypeScript", 40, 0, 0, 0, 3, 13, 56
"c:\projects\card-game\src\api\actions\decks\index.ts", "TypeScript", 9, 0, 0, 0, 0, 3, 12
"c:\projects\card-game\src\api\actions\hands\DiscardCard.ts", "TypeScript", 23, 0, 0, 0, 3, 8, 34
"c:\projects\card-game\src\api\actions\index.ts", "TypeScript", 4, 0, 0, 0, 0, 2, 6
"c:\projects\card-game\src\api\actions\players\index.ts", "TypeScript", 23, 0, 0, 0, 0, 5, 28
"c:\projects\card-game\src\api\actions\turns\index.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1
"c:\projects\card-game\src\api\events\EventTracker.ts", "TypeScript", 50, 0, 0, 0, 13, 15, 78
"c:\projects\card-game\src\api\events\GameEvent.ts", "TypeScript", 8, 0, 0, 0, 9, 5, 22
